id,first_name,last_name,weight,age
852,Daffi,Le Barr,169,83
853,Washington,Aleksahkin,195,28
854,Mag,Quinnelly,215,115
855,Berget,Doldon,178,97
856,Lari,Rawlence,79,120
857,Griffith,Lomen,132,12
858,Foss,Sterricker,217,87
859,Davon,Warkup,83,63
860,Wenonah,Butterley,240,61
861,Yale,Ziems,78,90
862,Noelle,Lundbech,219,94
863,Duff,Clavey,145,108
864,Cati,Badland,157,90
865,Addy,Dalziel,169,106
866,Hinda,Oultram,186,67
867,Anitra,Folcarelli,245,88
868,Vincenz,Hacket,108,93
869,Abbey,Scini,65,44
870,Edmon,Musterd,209,79
871,Leese,Pitkaithly,75,45
872,Robin,O' Mullane,102,22
873,Krista,Bichard,256,56
874,Jedd,Gawen,177,56
875,Cassie,de Glanville,234,13
876,Ian,Brayford,143,115
877,Cal,Sego,195,77
878,Enos,O'Reilly,89,105
879,Fionna,Petrillo,287,43
880,Melanie,Seaton,215,42
881,Normand,Tesmond,91,38
882,Emmaline,McKeady,108,90
883,Tadio,Stapleton,198,113
884,Donnie,MacConchie,54,5
885,Nicol,Stanmore,137,26
886,Perri,Iggalden,245,87
887,Christel,Gettens,110,31
888,Charley,Nezey,136,61
889,Mercedes,Ballchin,208,117
890,Gorden,Guinness,158,57
891,Selby,Tinghill,180,114
892,Tori,Craister,139,103
893,Riki,Paynter,117,96
894,Ernestus,Eveleigh,124,25
895,Erl,Dallaghan,289,16
896,Ernest,De Caville,275,102
897,Everett,Charlon,217,39
898,Benedicta,Shillam,97,41
899,Twila,Gallamore,245,60
900,Terese,Breede,158,21
901,Lawry,Dowthwaite,269,119
902,Chris,Thoresbie,177,21
903,Nathanial,Dolligon,169,45
904,Rollie,Jouanny,179,92
905,Oralie,Sorton,179,29
906,Carlynn,Velasquez,210,61
907,Sigmund,Hemms,230,38
908,Bernita,Thorns,258,101
909,Ami,Bingle,143,104
910,Dosi,Madeley,278,48
911,Vivianna,Bonn,192,112
912,Oralla,Augustine,169,120
913,Martguerita,Vannet,268,80
914,Brandon,Fishpond,151,75
915,Tammy,Frazier,252,103
916,Daven,McCraw,129,25
917,Winne,Brigge,279,120
918,Maure,Ulyatt,179,93
919,Jo-ann,Sebyer,137,73
920,Gordan,Bartozzi,189,10
921,Amy,Seson,154,94
922,Issi,McLemon,259,15
923,Rosabelle,Anderson,262,41
924,Padgett,Tappin,204,8
925,Leesa,O'Neal,147,105
926,Elena,Senchenko,258,18
927,Lita,Grimmett,56,14
928,Laurie,Annes,118,15
929,Rancell,Borgesio,256,110
930,Gasparo,Offer,107,66
931,Lorin,Fargher,51,63
932,Inglis,Blaske,173,18
933,Arvie,Laugheran,293,91
934,Ly,Willmot,186,75
935,Aveline,Ryal,156,35
936,Rene,Kemball,118,7
937,Jeramey,Coddington,47,119
938,Douglass,Murphy,123,49
939,Miquela,McNish,150,32
940,Mareah,Wey,71,59
941,Tiphany,Stilgoe,278,114
942,Marjie,Lazare,201,91
943,Wendi,Casper,283,44
944,Kirsteni,Covotti,237,110
945,Grant,Churchill,62,117
946,Jase,Adnam,105,58
947,Corena,Luxmoore,53,96
948,Saunderson,Gillford,83,9
949,Sean,Clouston,107,8
950,Benji,Tarn,182,107
951,Charley,Hambidge,125,55
952,Nowell,Bern,219,72
953,Ella,Reyne,46,73
954,Neddy,Jarville,272,104
955,Bernarr,Wanstall,152,98
956,Duff,Passy,146,117
957,Shannon,Sehorsch,90,110
958,Winny,Phythian,60,64
959,Melania,Markl,131,8
960,Erika,Smeath,185,43
961,Gallagher,Wofenden,233,95
962,Debi,Dohmann,233,82
963,Evangelin,Baggot,272,18
964,Tanya,Peaseman,170,32
965,Maritsa,Larmouth,54,59
966,Nikolai,Gabbotts,85,94
967,Daren,Brea,287,59
968,Gill,Gruszecki,291,5
969,Brendin,Berick,263,21
970,Nyssa,Huygens,297,5
971,Ruthann,Veivers,140,90
972,Clareta,Varcoe,221,15
973,Marissa,de Chastelain,148,75
974,Inga,Redding,126,16
975,Sheba,McCudden,91,52
976,Katine,Braidman,236,53
977,Kirbie,Karleman,73,79
978,Gayel,Spaice,282,43
979,Rozanna,Lewin,145,65
980,Gipsy,Rattery,53,58
981,Jarrett,Snawden,186,48
982,Mollie,Truin,243,74
983,Josselyn,Aynold,56,113
984,Mavra,Jickells,210,96
985,Joannes,Clausen,287,104
986,Allissa,Hyde-Chambers,122,115
987,Shaw,Hasser,45,39
988,Marena,Barringer,145,14
989,Wilone,Bobasch,47,19
990,Brewster,Begley,152,106
991,Davine,McNirlin,178,60
992,Seana,Menlow,298,36
993,Cullie,Barratt,252,36
994,Helsa,Cyseley,205,113
995,Freeland,Habbeshaw,100,55
996,Pembroke,Pepperrall,139,72
997,Joannes,Terney,153,14
998,Bibi,Gerrels,226,33
999,Tine,Ettery,119,92
1000,Rozamond,Petroff,276,91
